model,mae,rmse,mape,r2_score,accuracy_percent,walk_forward_rmse
Naive Forecast,6.641860465116279,8.229066868621205,0.29453491194717,0.9978868378531466,99.70546508805283,
Moving Average,21.691029900332353,26.677249949181494,0.9665899285399062,0.9777917797684236,99.0334100714601,
Random Forest,47.69071010010757,70.95513283108014,2.265176461084597,0.8422603637955898,97.7348235389154,1130.997913028159
Gradient Boosting,73.37220474150942,97.28876758563602,3.476596180944787,0.7034495386649237,96.52340381905522,1159.8397670511463
ARIMA,221.82822954524102,274.2506313232169,10.460442470042107,-1.3470746985982283,89.53955752995789,
SARIMA,468.66030506888706,646.0872411422406,20.329065743994008,-12.026086843946528,79.67093425600599,
Exponential Smoothing,2133.00776927251,2407.8802536225935,95.85286275332422,-179.92617851949382,4.147137246675783,
